line_idx,overflow_timesteps,max_rho,overflow_percentage
0.000000000000000000e+00,0.000000000000000000e+00,3.927527666091918945e-01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,4.989496469497680664e-01,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,3.625149726867675781e-01,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.385097086429595947e-01,0.000000000000000000e+00
4.000000000000000000e+00,9.750000000000000000e+02,1.204645991325378418e+00,1.209077380952381020e+01
5.000000000000000000e+00,0.000000000000000000e+00,3.751405179500579834e-01,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00,7.413599491119384766e-01,0.000000000000000000e+00
7.000000000000000000e+00,0.000000000000000000e+00,9.036973714828491211e-01,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,6.873651742935180664e-01,0.000000000000000000e+00
9.000000000000000000e+00,4.000000000000000000e+00,1.010389089584350586e+00,4.960317460317460042e-02
1.000000000000000000e+01,0.000000000000000000e+00,5.391000509262084961e-01,0.000000000000000000e+00
1.100000000000000000e+01,0.000000000000000000e+00,4.642461538314819336e-01,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00,5.873258709907531738e-01,0.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00,6.250420212745666504e-01,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00,6.066085696220397949e-01,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00,6.493822336196899414e-01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00,6.521767377853393555e-01,0.000000000000000000e+00
1.700000000000000000e+01,4.900000000000000000e+02,1.164255142211914062e+00,6.076388888888888395e+00
1.800000000000000000e+01,0.000000000000000000e+00,6.203475594520568848e-01,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00,5.980046987533569336e-01,0.000000000000000000e+00
